ticker,entry_date,entry_price,sl_price,tp_price,exit_date,exit_price,target_pct,sl_pct,outcome,pnl_pct
IZMO,2022-02-14,80.19,78.46,99.85,2022-02-15,78.46,24.52,2.16,LOSS,-2.16
IZMO,2022-04-25,85.35,82.1,100.9,2022-05-02,82.1,18.22,3.81,LOSS,-3.81
IZMO,2022-06-17,70.22,69.25,88.8,2022-06-20,69.25,26.45,1.39,LOSS,-1.39
IZMO,2023-08-25,195.59,190.53,227.0,2023-08-28,190.53,16.06,2.59,LOSS,-2.59
IZMO,2024-05-06,321.25,315.81,373.0,2024-05-07,315.81,16.11,1.69,LOSS,-1.69
IZMO,2024-10-23,389.64,378.05,494.0,2024-10-25,378.05,26.78,2.97,LOSS,-2.97
IZMO,2025-12-08,808.67,796.95,938.9,2025-12-09,796.95,16.1,1.45,LOSS,-1.45
IZMO,2026-03-04,688.5,679.14,915.0,2026-03-05,679.14,32.9,1.36,LOSS,-1.36
DOLATALGO,2022-02-09,87.43,83.35,100.95,2022-02-14,83.35,15.47,4.66,LOSS,-4.66
DOLATALGO,2022-05-04,87.93,84.84,108.75,2022-05-10,84.84,23.68,3.51,LOSS,-3.51
DOLATALGO,2022-12-21,65.96,64.25,73.4,2022-12-22,64.25,11.28,2.6,LOSS,-2.6
DOLATALGO,2023-05-08,49.39,47.0,54.85,2023-05-19,47.0,11.06,4.83,LOSS,-4.83
DOLATALGO,2024-03-13,65.35,63.05,93.4,2024-03-14,63.05,42.92,3.52,LOSS,-3.52
DOLATALGO,2024-09-18,164.34,160.31,186.5,2024-09-19,160.31,13.49,2.45,LOSS,-2.45
DOLATALGO,2025-04-25,86.81,83.59,96.96,2025-05-02,83.59,11.7,3.7,LOSS,-3.7
DOLATALGO,2025-06-13,100.88,99.76,111.05,2025-06-17,99.76,10.08,1.11,LOSS,-1.11
DOLATALGO,2026-06-01,72.62,71.78,82.87,2026-06-11,71.78,14.11,1.17,LOSS,-1.17
GODREJIND,2021-11-17,588.0,571.6,652.0,2021-11-26,571.6,10.88,2.79,LOSS,-2.79
GODREJIND,2022-06-13,450.21,439.96,550.0,2022-06-16,439.96,22.16,2.28,LOSS,-2.28
GODREJIND,2023-10-23,618.1,597.42,733.7,2023-12-29,733.7,18.7,3.35,WIN,18.7
GODREJIND,2025-04-30,1074.94,1026.0,1190.0,2025-05-23,1190.0,10.7,4.55,WIN,10.7
GODREJIND,2025-10-06,1126.05,1110.5,1325.0,2025-10-07,1110.5,17.67,1.38,LOSS,-1.38
ANTGRAPHIC,2023-12-08,0.93,0.89,1.2,2023-12-11,0.89,29.73,3.68,LOSS,-3.68
SVPGLOB,2021-09-16,135.12,130.0,164.85,2021-09-20,130.0,22.0,3.79,LOSS,-3.79
SVPGLOB,2022-05-16,42.01,41.09,60.8,2022-05-25,41.09,44.72,2.21,LOSS,-2.21
SVPGLOB,2022-09-06,36.0,34.35,44.0,2022-09-28,34.35,22.22,4.57,LOSS,-4.57
SVPGLOB,2022-12-09,30.81,30.44,35.35,2022-12-19,30.44,14.73,1.2,LOSS,-1.2
SVPGLOB,2023-01-30,32.95,31.53,43.55,2023-02-02,31.53,32.17,4.31,LOSS,-4.31
SVPGLOB,2023-05-23,13.24,12.92,15.25,2023-05-24,12.92,15.2,2.4,LOSS,-2.4
SVPGLOB,2024-12-24,5.21,5.01,7.41,2024-12-26,5.01,42.09,3.93,LOSS,-3.93
